public_path	node_kind	term_hint	action_hint	source_internal	transform_kind	null_policy	status	notes
xr.lines[].price.baseQuantity	value	BT-149	map_value			omit_if_missing	todo	
xr.lines[].price.baseQuantityUnitCode	value	BT-150	map_value			omit_if_missing	todo	
xr.lines[].vat	object	BG-30	compose_object			omit_if_missing	todo	
xr.lines[].vat.categoryCode	value	BT-151	map_value			omit_if_missing	todo	
xr.lines[].vat.rate	value	BT-152	map_value			omit_if_missing	todo	
xr.lines[].item	object	BG-31 and BG-32	compose_object			omit_if_missing	todo	
xr.lines[].item.name	value	BT-153	map_value			omit_if_missing	todo	
xr.lines[].item.description	value	BT-154	map_value			omit_if_missing	todo	
xr.lines[].item.sellersItemId	value	BT-155	map_value			omit_if_missing	todo	
xr.lines[].item.buyersItemId	value	BT-156	map_value			omit_if_missing	todo	
xr.lines[].item.standardId	value	BT-157	map_value			omit_if_missing	todo	
xr.lines[].item.standardIdSchemeId	value	BT-157 schemeId	map_value			omit_if_missing	todo	
xr.lines[].item.classifications[]	list	BT-158	repeat_or_group			omit_if_missing	todo	
xr.lines[].item.classifications[].code	value	BT-158	map_value			omit_if_missing	todo	
xr.lines[].item.classifications[].listId	value	BT-158 listId	map_value			omit_if_missing	todo	
xr.lines[].item.classifications[].listVersionId	value	BT-158 listVersionId	map_value			omit_if_missing	todo	
xr.lines[].item.originCountryCode	value	BT-159	map_value			omit_if_missing	todo	
xr.lines[].item.attributes[]	list	BG-32	repeat_or_group			omit_if_missing	todo	
xr.lines[].item.attributes[].name	value	BT-160	map_value			omit_if_missing	todo	
xr.lines[].item.attributes[].value	value	BT-161	map_value			omit_if_missing	todo	
